date,YEAR,MO,DY,HR,ALLSKY_SFC_SW_DIFF,PRECTOTCORR,SZA,RH2M,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,WS10M,PS,T2M,ALLSKY_SRF_ALB
2024-07-21 05:00:00,2024,7,21,5,0.0,0.09,90.0,75.68,0.0,0.0,2.3,87.96,18.4,-999.0
2024-07-21 06:00:00,2024,7,21,6,0.0,0.0,90.0,77.16,0.0,0.0,2.23,87.97,17.73,-999.0
2024-07-21 07:00:00,2024,7,21,7,0.0,0.0,90.0,79.3,0.0,0.0,2.16,87.97,17.07,-999.0
2024-07-21 08:00:00,2024,7,21,8,0.0,0.0,90.0,81.42,0.0,0.0,2.08,87.98,16.44,-999.0
2024-07-21 09:00:00,2024,7,21,9,0.0,0.0,90.0,81.46,0.0,0.0,2.01,87.97,15.98,-999.0
2024-07-21 10:00:00,2024,7,21,10,0.0,0.0,90.0,80.14,0.0,0.0,2.25,87.96,15.86,-999.0
2024-07-21 11:00:00,2024,7,21,11,0.0,0.0,90.0,77.52,0.0,0.0,2.34,87.95,15.95,-999.0
2024-07-21 12:00:00,2024,7,21,12,26.97,0.0,85.63,76.41,33.05,31.83,2.18,87.94,16.86,0.17
2024-07-21 13:00:00,2024,7,21,13,72.78,0.0,77.02,73.36,147.98,142.88,1.35,87.93,19.67,0.18
2024-07-21 14:00:00,2024,7,21,14,113.26,0.0,67.9,52.03,298.02,290.15,1.44,87.93,22.71,0.14
2024-07-21 15:00:00,2024,7,21,15,141.01,0.0,58.61,42.25,457.35,449.45,1.74,87.93,25.16,0.15
2024-07-21 16:00:00,2024,7,21,16,149.69,0.0,49.58,36.76,604.12,597.67,2.46,87.93,27.16,0.14
2024-07-21 17:00:00,2024,7,21,17,187.68,0.0,41.39,33.72,711.05,709.47,2.82,87.92,28.6,0.13
2024-07-21 18:00:00,2024,7,21,18,211.02,0.0,34.97,31.66,787.15,786.42,2.9,87.88,29.85,0.16
2024-07-21 19:00:00,2024,7,21,19,209.29,0.0,31.64,30.41,841.8,824.53,2.89,87.83,30.67,0.16
2024-07-21 20:00:00,2024,7,21,20,232.99,0.0,32.47,29.52,834.62,807.85,2.88,87.78,31.2,0.16
2024-07-21 21:00:00,2024,7,21,21,170.25,0.0,37.17,28.97,775.22,718.62,2.85,87.75,31.47,0.16
2024-07-21 22:00:00,2024,7,21,22,207.37,0.0,44.42,28.99,672.05,648.7,2.92,87.72,31.4,0.15
2024-07-21 23:00:00,2024,7,21,23,167.78,0.0,53.03,29.85,536.8,527.35,3.1,87.68,30.86,0.15
2024-07-22 00:00:00,2024,7,22,0,141.91,0.0,62.23,32.34,379.35,373.17,3.2,87.67,29.8,0.13
2024-07-22 01:00:00,2024,7,22,1,99.49,0.0,71.51,40.38,220.62,215.6,2.76,87.67,27.86,0.1
2024-07-22 02:00:00,2024,7,22,2,56.98,0.0,80.49,54.31,91.9,90.6,2.37,87.68,24.43,0.13
2024-07-22 03:00:00,2024,7,22,3,10.77,0.0,88.35,61.59,8.95,8.68,2.65,87.68,21.46,0.16
2024-07-22 04:00:00,2024,7,22,4,0.0,0.0,90.0,62.75,0.0,0.0,2.75,87.69,20.32,-999.0
2024-07-22 05:00:00,2024,7,22,5,0.0,0.0,90.0,63.62,0.0,0.0,2.78,87.71,19.46,-999.0
2024-07-22 06:00:00,2024,7,22,6,0.0,0.0,90.0,65.76,0.0,0.0,2.74,87.72,18.54,-999.0
2024-07-22 07:00:00,2024,7,22,7,0.0,0.0,90.0,67.92,0.0,0.0,2.7,87.7,17.75,-999.0
2024-07-22 08:00:00,2024,7,22,8,0.0,0.0,90.0,69.35,0.0,0.0,2.66,87.66,17.14,-999.0
2024-07-22 09:00:00,2024,7,22,9,0.0,0.0,90.0,70.73,0.0,0.0,2.58,87.62,16.56,-999.0
2024-07-22 10:00:00,2024,7,22,10,0.0,0.0,90.0,72.76,0.0,0.0,2.56,87.58,15.88,-999.0
2024-07-22 11:00:00,2024,7,22,11,0.0,0.0,90.0,73.21,0.0,0.0,2.59,87.56,15.46,-999.0
2024-07-22 12:00:00,2024,7,22,12,27.41,0.0,85.8,71.45,30.1,29.58,2.46,87.53,16.32,0.17
2024-07-22 13:00:00,2024,7,22,13,79.57,0.0,77.18,62.26,141.12,128.15,1.99,87.51,19.77,0.18
2024-07-22 14:00:00,2024,7,22,14,140.99,0.0,68.05,47.09,292.25,266.15,2.19,87.49,23.06,0.11
2024-07-22 15:00:00,2024,7,22,15,224.56,0.0,58.77,39.48,452.25,407.75,2.31,87.47,25.88,0.13
2024-07-22 16:00:00,2024,7,22,16,273.41,0.0,49.74,34.44,601.1,517.55,2.86,87.44,27.85,0.13
2024-07-22 17:00:00,2024,7,22,17,268.95,0.0,41.56,32.51,721.25,663.45,3.24,87.4,28.95,0.14
2024-07-22 18:00:00,2024,7,22,18,332.97,0.0,35.16,31.68,804.78,717.83,3.65,87.35,29.79,0.15
2024-07-22 19:00:00,2024,7,22,19,316.81,0.0,31.84,31.15,789.83,704.2,3.97,87.31,30.42,0.12
2024-07-22 20:00:00,2024,7,22,20,343.4,0.0,32.67,30.77,775.03,657.33,4.12,87.28,30.84,0.12
2024-07-22 21:00:00,2024,7,22,21,333.79,0.0,37.34,30.46,712.88,584.88,3.95,87.24,31.01,0.12
2024-07-22 22:00:00,2024,7,22,22,314.63,0.0,44.58,30.34,611.9,497.62,3.66,87.19,30.89,0.16
2024-07-22 23:00:00,2024,7,22,23,274.86,0.0,53.18,30.78,476.83,369.95,3.4,87.14,30.45,0.16
2024-07-23 00:00:00,2024,7,23,0,189.72,0.0,62.37,33.38,326.62,227.4,3.0,87.08,29.47,0.16
2024-07-23 01:00:00,2024,7,23,1,115.49,0.0,71.66,41.88,180.98,130.1,2.35,87.05,27.61,0.15
2024-07-23 02:00:00,2024,7,23,2,52.56,0.0,80.65,54.71,66.82,52.58,2.29,87.04,24.42,0.16
2024-07-23 03:00:00,2024,7,23,3,10.49,0.0,88.45,59.47,7.05,8.0,2.74,87.04,22.0,0.17
2024-07-23 04:00:00,2024,7,23,4,0.0,0.0,90.0,60.21,0.0,0.0,2.98,87.04,21.08,-999.0
2024-07-23 05:00:00,2024,7,23,5,0.0,0.0,90.0,61.64,0.0,0.0,3.0,87.01,20.21,-999.0
2024-07-23 06:00:00,2024,7,23,6,0.0,0.0,90.0,63.13,0.0,0.0,3.03,86.97,19.48,-999.0
2024-07-23 07:00:00,2024,7,23,7,0.0,0.0,90.0,64.46,0.0,0.0,3.17,86.91,18.93,-999.0
2024-07-23 08:00:00,2024,7,23,8,0.0,0.0,90.0,64.93,0.0,0.0,3.28,86.84,18.66,-999.0
2024-07-23 09:00:00,2024,7,23,9,0.0,0.0,90.0,65.1,0.0,0.0,3.31,86.77,18.59,-999.0
2024-07-23 10:00:00,2024,7,23,10,0.0,0.0,90.0,66.7,0.0,0.0,3.24,86.72,18.24,-999.0
2024-07-23 11:00:00,2024,7,23,11,0.0,0.0,90.0,66.89,0.0,0.0,3.32,86.69,18.11,-999.0
2024-07-23 12:00:00,2024,7,23,12,22.28,0.0,85.97,65.22,36.28,35.05,3.26,86.69,18.45,0.19
2024-07-23 13:00:00,2024,7,23,13,51.5,0.0,77.34,59.59,172.65,172.38,3.15,86.71,20.03,0.2
2024-07-23 14:00:00,2024,7,23,14,62.03,0.0,68.21,50.59,340.3,339.77,3.26,86.74,22.23,0.19
2024-07-23 15:00:00,2024,7,23,15,65.08,0.0,58.93,36.49,509.77,508.98,3.89,86.77,24.63,0.18
2024-07-23 16:00:00,2024,7,23,16,67.47,0.0,49.91,26.19,664.28,663.15,4.09,86.82,26.22,0.17
2024-07-23 17:00:00,2024,7,23,17,70.56,0.0,41.74,19.84,790.6,789.08,4.04,86.9,27.65,0.16
2024-07-23 18:00:00,2024,7,23,18,70.25,0.0,35.35,16.61,880.47,879.35,3.76,86.97,28.87,0.15
